"formal_name","location_address","suburb","postcode","address","latitude","longitude","category"
"Glengollan Village","97 Underwood Road","FERNTREE GULLY","3156","97 Underwood Road, FERNTREE GULLY, VIC, 3156, Australia",-37.874716,145.292225,"RACF"
"Glenview Community Care Nursing Home","168 HIGH Street","RUTHERGLEN","3685","168 HIGH Street, RUTHERGLEN, VIC, 3685, Australia",-36.057304,146.458585,"RACF"
"Golden Oaks Nursing Home","Stoneham Street","GOLDEN SQUARE","3555","Stoneham Street, GOLDEN SQUARE, VIC, 3555, Australia",-36.77995,144.255944,"RACF"
"Gorrinn House Hostel","27 ALBERT Street","ARARAT","3377","27 ALBERT Street, ARARAT, VIC, 3377, Australia",-37.289119,142.940756,"RACF"
"Grace Of Mary Greek Cypriot Elderly Hostel","190-200 MCDONALDS Road","EPPING","3076","190-200 MCDONALDS Road, EPPING, VIC, 3076, Australia",-37.647814,145.059959,"RACF"
"Grace Villa Aged Care","25-33 GRIMSHAW Street","GREENSBOROUGH","3088","25-33 GRIMSHAW Street, GREENSBOROUGH, VIC, 3088, Australia",-37.70513,145.105867,"RACF"
"Graceland Manor","508 Glenhuntly Road","ELSTERNWICK","3185","508 Glenhuntly Road, ELSTERNWICK, VIC, 3185, Australia",-37.885602,145.009924,"RACF"
"Grand Cedar Aged Care","61-63 HIGH STREET Road","ASHWOOD","3147","61-63 HIGH STREET Road, ASHWOOD, VIC, 3147, Australia",-37.866106,145.097021,"RACF"
"Grandview Lodge","19 GRANDVIEW Street","WYCHEPROOF","3527","19 GRANDVIEW Street, WYCHEPROOF, VIC, 3527, Australia",-36.079249,143.234002,"RACF"
"Grange Residential Care Services","19 GRAY Street","HAMILTON","3300","19 GRAY Street, HAMILTON, VIC, 3300, Australia",-37.746117,142.01843,"RACF"
"GraniteHill Aged Care","36 KENNEDY Street","EUROA","3666","36 KENNEDY Street, EUROA, VIC, 3666, Australia",-36.75981995,145.56940445,"RACF"
"Grant Lodge Aged Care Facility","1 CLARINDA Street","BACCHUS MARSH","3340","1 CLARINDA Street, BACCHUS MARSH, VIC, 3340, Australia",-37.67502,144.4325,"RACF"
"Great Ocean Road Health - Lorne Nursing Home","7 ALBERT Street","LORNE","3232","7 ALBERT Street, LORNE, VIC, 3232, Australia",-38.546373,143.979403,"RACF"
"Great Ocean Road Health Apollo Bay","37-43 Mclachlan Street","APOLLO BAY","3233","37-43 Mclachlan Street, APOLLO BAY, VIC, 3233, Australia",-38.7538618,143.664005479712,"RACF"
"Greenview Aged Care","33-37 Mitcham Road","DONVALE","3111","33-37 Mitcham Road, DONVALE, VIC, 3111, Australia",-37.793446,145.176618,"RACF"
"Greenwood Manor (Outlet)","617 LOWER DANDENONG Road","DINGLEY VILLAGE","3172","617 LOWER DANDENONG Road, DINGLEY VILLAGE, VIC, 3172, Australia",-37.989978,145.138409,"RACF"
"Griffiths Point Lodge Hostel","Davis Point Road","SAN REMO","3925","Davis Point Road, SAN REMO, VIC, 3925, Australia",-38.5265635,145.3705283,"RACF"
"Grutzner House","2-22 Graham Street","SHEPPARTON","3630","2-22 Graham Street, SHEPPARTON, VIC, 3630, Australia",-36.3624743,145.4066783,"RACF"
"Hailey House Hostel","703 NORMAN Street","BALLARAT NORTH","3350","703 NORMAN Street, BALLARAT NORTH, VIC, 3350, Australia",-37.536491,143.857802,"RACF"
"Hakea Residential Aged Care Service","9 Batman Avenue","SHEPPARTON","3630","9 Batman Avenue, SHEPPARTON, VIC, 3630, Australia",-36.364372,145.391145,"RACF"
"HammondCare - Caulfield Village","260 KOOYONG Road","CAULFIELD","3162","260 KOOYONG Road, CAULFIELD, VIC, 3162, Australia",-37.8823815,145.016733,"RACF"
"HammondCare - The Glens","294 KOOYONG Road","CAULFIELD","3162","294 KOOYONG Road, CAULFIELD, VIC, 3162, Australia",-37.884402,145.015475,"RACF"
"Harbourside Lodge","141-151 BENTINCK Street","PORTLAND","3305","141-151 BENTINCK Street, PORTLAND, VIC, 3305, Australia",-38.341203,141.60519,"RACF"
"Harmony Village Aged Care Facility","20 ZURCAS Lane","SHEPPARTON","3630","20 ZURCAS Lane, SHEPPARTON, VIC, 3630, Australia",-36.389146,145.426693,"RACF"
"Havilah Hostel","11 HARKNESS Street","MARYBOROUGH","3465","11 HARKNESS Street, MARYBOROUGH, VIC, 3465, Australia",-37.038685,143.743934,"RACF"
"Havilah on Palmerston","25 PALMERSTON Street","MARYBOROUGH","3465","25 PALMERSTON Street, MARYBOROUGH, VIC, 3465, Australia",-37.045107,143.734312,"RACF"
"Heathcote Health High Care Service","39 HOSPITAL Street","HEATHCOTE","3523","39 HOSPITAL Street, HEATHCOTE, VIC, 3523, Australia",-36.925604,144.709705,"RACF"
"Hepburn House","1 HEPBURN Road","DAYLESFORD","3460","1 HEPBURN Road, DAYLESFORD, VIC, 3460, Australia",-37.329515,144.145352,"RACF"
"Heritage Gardens","325-329 CANTERBURY Road","BAYSWATER","3153","325-329 CANTERBURY Road, BAYSWATER, VIC, 3153, Australia",-37.8334295,145.266015110098,"RACF"
"Hesse Rural Health Nursing Home","8 GOSNEY Street","WINCHELSEA","3241","8 GOSNEY Street, WINCHELSEA, VIC, 3241, Australia",-38.243435,143.984994,"RACF"
"Heytesbury Lodge & Lovely Banks Residential Care","5 VICTORIA Street","COBDEN","3266","5 VICTORIA Street, COBDEN, VIC, 3266, Australia",-38.332234,143.0763,"RACF"
"Heywood Nursing Home","21 BARCLAY Street","HEYWOOD","3304","21 BARCLAY Street, HEYWOOD, VIC, 3304, Australia",-38.1379457,141.624074,"RACF"
"Highton Gardens Care Community","209 South Valley Road","HIGHTON","3216","209 South Valley Road, HIGHTON, VIC, 3216, Australia",-38.193912,144.316596,"RACF"
"Highwood Court Aged Care","359 WARRIGAL Road","BURWOOD","3125","359 WARRIGAL Road, BURWOOD, VIC, 3125, Australia",-37.853094,145.095371,"RACF"
"Hillview Bunyip Aged Care Inc","22 Abeckett Road","BUNYIP","3815","22 Abeckett Road, BUNYIP, VIC, 3815, Australia",-38.097431,145.724268,"RACF"
"Holloway Aged Care Services","1 ROTARY Drive","KEILOR EAST","3033","1 ROTARY Drive, KEILOR EAST, VIC, 3033, Australia",-37.747734,144.861613,"RACF"
"Holmwood Aged Care","17-19 LALORS Road","HEALESVILLE","3777","17-19 LALORS Road, HEALESVILLE, VIC, 3777, Australia",-37.661943,145.515987,"RACF"
"Homestead Estate","9-11 Homestead Avenue","WALLINGTON","3222","9-11 Homestead Avenue, WALLINGTON, VIC, 3222, Australia",-38.2193809,144.5367052,"RACF"
"Homestyle Belmont Grange","34 CHURCH Street","GROVEDALE","3216","34 CHURCH Street, GROVEDALE, VIC, 3216, Australia",-38.196323,144.337686,"RACF"
"Homestyle Clarendon Grange","40 Stud Road","WANTIRNA","3152","40 Stud Road, WANTIRNA, VIC, 3152, Australia",-37.846144,145.246826,"RACF"
"Homestyle Ferndale Gardens","229-239 BAYSWATER Road","BAYSWATER NORTH","3153","229-239 BAYSWATER Road, BAYSWATER NORTH, VIC, 3153, Australia",-37.82312795,145.269724138383,"RACF"
"Homestyle Green Gables","15 COULSTOCK Street","EPPING","3076","15 COULSTOCK Street, EPPING, VIC, 3076, Australia",-37.650519,145.031623,"RACF"
"Homestyle Kensington Grange","13 Ferguson Road","LEOPOLD","3224","13 Ferguson Road, LEOPOLD, VIC, 3224, Australia",-38.190126,144.463816,"RACF"
"Homestyle Langford Grange","1 RESIDENCE Drive","CRANBOURNE EAST","3977","1 RESIDENCE Drive, CRANBOURNE EAST, VIC, 3977, Australia",-38.112638,145.300389,"RACF"
"Homestyle Melville Grange","80 MELVILLE PARK Drive","BERWICK","3806","80 MELVILLE PARK Drive, BERWICK, VIC, 3806, Australia",-38.039613,145.346226,"RACF"
"Homestyle Point Cook Manor","9 HEWETT Drive","POINT COOK","3030","9 HEWETT Drive, POINT COOK, VIC, 3030, Australia",-37.891945,144.725371,"RACF"
"Homestyle Rowville Manor","18 LE JOHN Street","ROWVILLE","3178","18 LE JOHN Street, ROWVILLE, VIC, 3178, Australia",-37.9256944,145.250947462668,"RACF"
"Homestyle Sea Views Manor","77-79 TAREEDA Way","OCEAN GROVE","3226","77-79 TAREEDA Way, OCEAN GROVE, VIC, 3226, Australia",-38.2528955,144.5519623,"RACF"
"Homestyle Sunset Views Manor","142 SUNSET VIEWS Boulevard","TARNEIT","3029","142 SUNSET VIEWS Boulevard, TARNEIT, VIC, 3029, Australia",-37.836075,144.695486,"RACF"
"Homewood Residential Aged Care","8 YOUNG Road","HALLAM","3803","8 YOUNG Road, HALLAM, VIC, 3803, Australia",-38.004759,145.276065346787,"RACF"
"Honeysuckle Regional Health","48 COWSLIP Street","VIOLET TOWN","3669","48 COWSLIP Street, VIOLET TOWN, VIC, 3669, Australia",-36.6367433,145.7164394,"RACF"
"Honeysuckle Regional Health, Bentley's Aged Care","47 HARPIN Street","EAST BENDIGO","3550","47 HARPIN Street, EAST BENDIGO, VIC, 3550, Australia",-36.751856,144.305383,"RACF"
"Hope Aged Care","34 LUX Way","BRUNSWICK","3056","34 LUX Way, BRUNSWICK, VIC, 3056, Australia",-37.765575,144.959624,"RACF"
"Hope Aged Care Swan Hill","39-41 Acacia Street","SWAN HILL","3585","39-41 Acacia Street, SWAN HILL, VIC, 3585, Australia",-35.344619,143.524948,"RACF"
"Hopetoun Hostel","12 MITCHELL Place","HOPETOUN","3396","12 MITCHELL Place, HOPETOUN, VIC, 3396, Australia",-35.7320094,142.366398373451,"RACF"
"Ian Brand Nursing Home","1231 Plenty Road","BUNDOORA","3083","1231 Plenty Road, BUNDOORA, VIC, 3083, Australia",-37.7010738,145.0553803,"RACF"
"Illoura - Residential Aged Care","32-50 COLLEGE Street","WANGARATTA","3677","32-50 COLLEGE Street, WANGARATTA, VIC, 3677, Australia",-36.338071,146.30985,"RACF"
"Inglewood & Districts Health Service (Hostel)","3 HOSPITAL Street","INGLEWOOD","3517","3 HOSPITAL Street, INGLEWOOD, VIC, 3517, Australia",-36.571906,143.873078,"RACF"
"Inverloch Coast Care Community","119 CASHIN Street","INVERLOCH","3996","119 CASHIN Street, INVERLOCH, VIC, 3996, Australia",-38.628498,145.716853,"RACF"
"Iona Digby Harris Home","49 Nelson Street","NHILL","3418","49 Nelson Street, NHILL, VIC, 3418, Australia",-36.333878,141.655837,"RACF"
"Irvin House NCN Health Cobram","24-32 BROADWAY Street","COBRAM","3644","24-32 BROADWAY Street, COBRAM, VIC, 3644, Australia",-35.91653,145.651093,"RACF"
"Isomer Retirement Home","1273 WELLINGTON Road","LYSTERFIELD","3156","1273 WELLINGTON Road, LYSTERFIELD, VIC, 3156, Australia",-37.928583,145.2712498,"RACF"
"J.H.F. McDonald Wing Nursing Home","48 Kent Street","MAFFRA","3860","48 Kent Street, MAFFRA, VIC, 3860, Australia",-37.960964,146.983279,"RACF"
"Jacaranda Village","4-8 CALOTIS Street","RED CLIFFS","3496","4-8 CALOTIS Street, RED CLIFFS, VIC, 3496, Australia",-34.314935,142.187641,"RACF"
"Jack Lonsdale Lodge","232 SPENCER Street","SEBASTOPOL","3356","232 SPENCER Street, SEBASTOPOL, VIC, 3356, Australia",-37.596984,143.83803,"RACF"
"James Barker House","64 BUCKLEY Street","FOOTSCRAY","3011","64 BUCKLEY Street, FOOTSCRAY, VIC, 3011, Australia",-37.803655,144.896157,"RACF"
"James Thomas Court","117 MORGAN Street","SEBASTOPOL","3356","117 MORGAN Street, SEBASTOPOL, VIC, 3356, Australia",-37.604876,143.835707,"RACF"
"Jeparit & District Nursing Home","2 CHARLES Street","JEPARIT","3423","2 CHARLES Street, JEPARIT, VIC, 3423, Australia",-36.141002,141.98473,"RACF"
"Jewish Care : Residential Home, Windsor","619 St Kilda Road","MELBOURNE","3004","619 St Kilda Road, MELBOURNE, VIC, 3004, Australia",-37.85290825,144.982343078421,"RACF"
"Jewish Care: Residential Home, Carnegie","1 WAHGOO Road","CARNEGIE","3163","1 WAHGOO Road, CARNEGIE, VIC, 3163, Australia",-37.8950355,145.063084623592,"RACF"
"John Curtin Aged Care","6 CUSHING Avenue","CRESWICK","3363","6 CUSHING Avenue, CRESWICK, VIC, 3363, Australia",-37.4195276,143.8916475,"RACF"
"John Flynn Retirement Village","6 Foundation Boulevard","BURWOOD EAST","3151","6 Foundation Boulevard, BURWOOD EAST, VIC, 3151, Australia",-37.850516,145.135445,"RACF"
"Johnson-Goodwin Memorial Homes","22 CAMP Street","DONALD","3480","22 CAMP Street, DONALD, VIC, 3480, Australia",-36.370841,142.97777,"RACF"
"Kalyna Care","344 Taylors Road","DELAHEY","3037","344 Taylors Road, DELAHEY, VIC, 3037, Australia",-37.72486315,144.77260183546,"RACF"
"Kaniva Hostel","7 Farmers Street","KANIVA","3419","7 Farmers Street, KANIVA, VIC, 3419, Australia",-36.381186,141.246061,"RACF"
"Kara Court Nursing Home","52 NORTH WESTERN Road","ST ARNAUD","3478","52 NORTH WESTERN Road, ST ARNAUD, VIC, 3478, Australia",-36.609559,143.246848,"RACF"
"Karana","7 HUME Street","YARRAWONGA","3730","7 HUME Street, YARRAWONGA, VIC, 3730, Australia",-36.009222,146.005734,"RACF"
"Karingal Seymour","3 BRETONNEUX Street","SEYMOUR","3660","3 BRETONNEUX Street, SEYMOUR, VIC, 3660, Australia",-37.018613,145.139789,"RACF"
"Karinya NCN Health Numurkah","2 KATAMATITE-NATHALIA Road","NUMURKAH","3636","2 KATAMATITE-NATHALIA Road, NUMURKAH, VIC, 3636, Australia",-36.0995367,145.4433815,"RACF"
"Kellock Lodge Alexandra Inc","15 BON Street","ALEXANDRA","3714","15 BON Street, ALEXANDRA, VIC, 3714, Australia",-37.185536,145.711992,"RACF"
"Kerala Manor","203 Broadgully Road","DIAMOND CREEK","3089","203 Broadgully Road, DIAMOND CREEK, VIC, 3089, Australia",-37.663925,145.163185,"RACF"
"Kew Gardens Aged Care","22-24 GELLIBRAND Street","KEW","3101","22-24 GELLIBRAND Street, KEW, VIC, 3101, Australia",-37.80824,145.032672,"RACF"
"Kirkbrae Residential Care","794 MT DANDENONG Road","KILSYTH","3137","794 MT DANDENONG Road, KILSYTH, VIC, 3137, Australia",-37.810199,145.331975,"RACF"
"Kirrak House","1 Ballieu Street  West","WONTHAGGI","3995","1 Ballieu Street  West, WONTHAGGI, VIC, 3995, Australia",-38.6043664,145.5913433,"RACF"
"Kolor Lodge Hostel","148 WATTON Street","PENSHURST","3289","148 WATTON Street, PENSHURST, VIC, 3289, Australia",-37.876307,142.28203,"RACF"
"Koo Wee Rup Regional Health Service Killara Hostel-","Rossiter Road","KOO WEE RUP","3981","Rossiter Road, KOO WEE RUP, VIC, 3981, Australia",-38.2088646,145.4721489,"RACF"
"Koorooman House Nursing Home","23 Sloan Avenue","LEONGATHA","3953","23 Sloan Avenue, LEONGATHA, VIC, 3953, Australia",-38.4866681,145.9491674,"RACF"
"Koraleigh Nursing Home","Purdey Street","TONGALA","3621","Purdey Street, TONGALA, VIC, 3621, Australia",-36.2510387,144.9576942,"RACF"
"Kowree Nursing Home Unit","128-134 ELIZABETH Street","EDENHOPE","3318","128-134 ELIZABETH Street, EDENHOPE, VIC, 3318, Australia",-37.034981,141.289471,"RACF"
"Kurrajong Lodge","2 ARNOTT Street","HORSHAM","3400","2 ARNOTT Street, HORSHAM, VIC, 3400, Australia",-36.714062,142.208729,"RACF"
"Kyabram Nursing Home - Sheridan","1C WARRAMUNDA Drive","KYABRAM","3620","1C WARRAMUNDA Drive, KYABRAM, VIC, 3620, Australia",-36.316329,145.042543,"RACF"
"Lakes Entrance Care Community","35A LAKEVIEW Drive","LAKES ENTRANCE","3909","35A LAKEVIEW Drive, LAKES ENTRANCE, VIC, 3909, Australia",-37.870309,147.991881,"RACF"
"Lakeview Lodge Hostel","22 Church Street","NAGAMBIE","3608","22 Church Street, NAGAMBIE, VIC, 3608, Australia",-36.780578,145.150090995327,"RACF"
"Lakeview Nursing Home","22 BARREE Street","TALLANGATTA","3700","22 BARREE Street, TALLANGATTA, VIC, 3700, Australia",-36.214196,147.183224,"RACF"
"Langwarrin Community Aged Care","74 POTTS Road","LANGWARRIN","3910","74 POTTS Road, LANGWARRIN, VIC, 3910, Australia",-38.135704,145.209447,"RACF"
"Latrobe Regional Hospital Nursing Home","40 VILLAGE Avenue","TRARALGON","3844","40 VILLAGE Avenue, TRARALGON, VIC, 3844, Australia",-38.218034,146.469139,"RACF"
"Latrobe Valley Village Hostel","5 Ollerton Avenue","MOE","3825","5 Ollerton Avenue, MOE, VIC, 3825, Australia",-38.1793568,146.280681316296,"RACF"
"Latvian Aged Care Facility","60 FRASER Crescent","WANTIRNA SOUTH","3152","60 FRASER Crescent, WANTIRNA SOUTH, VIC, 3152, Australia",-37.87786,145.230562,"RACF"
"Laurina Lodge Hostel","1 ELEANOR Street","HEYFIELD","3858","1 ELEANOR Street, HEYFIELD, VIC, 3858, Australia",-37.976031,146.784454,"RACF"
"Lexington Gardens Aged Care","18 VILLA Road","SPRINGVALE","3171","18 VILLA Road, SPRINGVALE, VIC, 3171, Australia",-37.9492485,145.1401904,"RACF"
"Lifeview Argyle Court","81-83 ARGYLE Avenue","CHELSEA","3196","81-83 ARGYLE Avenue, CHELSEA, VIC, 3196, Australia",-38.052612,145.127942,"RACF"
"Lifeview Emerald Glades","15 EMERALD-MONBULK Road","EMERALD","3782","15 EMERALD-MONBULK Road, EMERALD, VIC, 3782, Australia",-37.925898,145.442624,"RACF"
"Lifeview The Willows","171-175 JELLS Road","WHEELERS HILL","3150","171-175 JELLS Road, WHEELERS HILL, VIC, 3150, Australia",-37.9078193,145.1886021,"RACF"
"Lifeview Willow Wood","135 DUFF Street","CRANBOURNE","3977","135 DUFF Street, CRANBOURNE, VIC, 3977, Australia",-38.101878,145.265513,"RACF"
"Lilydale Aged Care","475 Swansea Road","LILYDALE","3140","475 Swansea Road, LILYDALE, VIC, 3140, Australia",-37.76186545,145.354372049086,"RACF"
"Lionsbrae","29 EVERARD Road","RINGWOOD EAST","3135","29 EVERARD Road, RINGWOOD EAST, VIC, 3135, Australia",-37.802379,145.249097,"RACF"
"Liscombe House","339 St Helena Road","SAINT HELENA","3088","339 St Helena Road, SAINT HELENA, VIC, 3088, Australia",-37.688973,145.130583,"RACF"
"Little Sisters of the Poor St Joseph's Home","112B ST GEORGES Road","NORTHCOTE","3070","112B ST GEORGES Road, NORTHCOTE, VIC, 3070, Australia",-37.7721756,144.9908947,"RACF"
"Logan Lodge (formally known as Swan Hill District Nursing Home)","29 HIGH Street","SWAN HILL","3585","29 HIGH Street, SWAN HILL, VIC, 3585, Australia",-35.339771,143.555572,"RACF"
"Luson - Bloom","61S LAKER Boulevard","CLYDE NORTH","3978","61S LAKER Boulevard, CLYDE NORTH, VIC, 3978, Australia",-38.08916,145.343608,"RACF"
"Luson - Eden Park","31-33 THOMPSON Street","WHITTINGTON","3219","31-33 THOMPSON Street, WHITTINGTON, VIC, 3219, Australia",-38.177631,144.387399,"RACF"
"LUSON The Vue","17 Reserve Road","GROVEDALE","3216","17 Reserve Road, GROVEDALE, VIC, 3216, Australia",-38.204978,144.342942,"RACF"
"Lynbrook Park Aged Care","42 OLIVE Road","LYNBROOK","3975","42 OLIVE Road, LYNBROOK, VIC, 3975, Australia",-38.047064,145.260665,"RACF"
"Lynden Aged Care","49 LYNDEN Street","CAMBERWELL","3124","49 LYNDEN Street, CAMBERWELL, VIC, 3124, Australia",-37.841574,145.0862,"RACF"
"Lyndoch Living - Residential Care","Hopkins Road","WARRNAMBOOL","3280","Hopkins Road, WARRNAMBOOL, VIC, 3280, Australia",-38.3945186,142.5072888,"RACF"
"Lyrebird Village for the Aged","8 NEERIM Street","DROUIN","3818","8 NEERIM Street, DROUIN, VIC, 3818, Australia",-38.134686,145.864676,"RACF"
"Macpherson Smith Residential Care","37 SLOANE Street","STAWELL","3380","37 SLOANE Street, STAWELL, VIC, 3380, Australia",-37.0597,142.779541,"RACF"
"MACS - Home Care Services","100 WEDDELL Road","NORTH GEELONG","3215","100 WEDDELL Road, NORTH GEELONG, VIC, 3215, Australia",-38.125252,144.346699,"RACF"
"Maculata Place Residential Aged Care Service","124 MACULATA Drive","SHEPPARTON","3630","124 MACULATA Drive, SHEPPARTON, VIC, 3630, Australia",-36.364065,145.391992,"RACF"
"Maldon Hospital - Mountview Nursing Home","2 CHAPEL Street","MALDON","3463","2 CHAPEL Street, MALDON, VIC, 3463, Australia",-36.993961,144.065048,"RACF"
"Mallee Track Health & Community Service - Ouyen","28 Britt Street","OUYEN","3490","28 Britt Street, OUYEN, VIC, 3490, Australia",-35.073722,142.313072,"RACF"
"Mallee Track Health & Community Service - Sea Lake","33-43 MCCLELLAND Avenue","SEA LAKE","3533","33-43 MCCLELLAND Avenue, SEA LAKE, VIC, 3533, Australia",-35.500881,142.859097,"RACF"
"Manangatang Multi-Purpose Service","37-39 PIONEER Street","MANANGATANG","3546","37-39 PIONEER Street, MANANGATANG, VIC, 3546, Australia",-35.051063,142.881088,"RACF"
"MannaCare Cassia House","371 MANNINGHAM Road","DONCASTER","3108","371 MANNINGHAM Road, DONCASTER, VIC, 3108, Australia",-37.77597,145.118253,"RACF"
"MannaCare Doncaster Melaleuca Lodge","383 Manningham Road","DONCASTER","3108","383 Manningham Road, DONCASTER, VIC, 3108, Australia",-37.776277,145.118603,"RACF"
"Manor Court Werribee Aged Care","5 HOGAN Grove","WERRIBEE","3030","5 HOGAN Grove, WERRIBEE, VIC, 3030, Australia",-37.896597,144.656975,"RACF"
"Margery Cole Residential Care Service","Matthews Crescent","TRARALGON","3844","Matthews Crescent, TRARALGON, VIC, 3844, Australia",-38.1952449,146.5490013,"RACF"
"Marina Residential Aged Care Service","385 BLACKSHAWS Road","ALTONA NORTH","3025","385 BLACKSHAWS Road, ALTONA NORTH, VIC, 3025, Australia",-37.83164585,144.846483269043,"RACF"
"Martin Luther Homes","67 Mt View Road","THE BASIN","3154","67 Mt View Road, THE BASIN, VIC, 3154, Australia",-37.859447,145.305289,"RACF"
"Mary Guthrie House Nursing Home","1 YARRA Boulevard","KEW","3101","1 YARRA Boulevard, KEW, VIC, 3101, Australia",-37.789918,145.025906,"RACF"
"May Noonan Centre by Lyndoch Living","1 FOLEY Street","TERANG","3264","1 FOLEY Street, TERANG, VIC, 3264, Australia",-38.249056,142.918415,"RACF"
"Mayflower Brighton - Residential Aged Care","7 Centre Road","BRIGHTON EAST","3187","7 Centre Road, BRIGHTON EAST, VIC, 3187, Australia",-37.914592,145.007997,"RACF"
"Mayflower Reservoir","56 Elliot Street","RESERVOIR","3073","56 Elliot Street, RESERVOIR, VIC, 3073, Australia",-37.704794,144.995587,"RACF"
"McKellar Centre","45-95 BALLARAT Road","NORTH GEELONG","3215","45-95 BALLARAT Road, NORTH GEELONG, VIC, 3215, Australia",-38.12167335,144.336188855196,"RACF"
"McLellan House Hostel","2 ROBINSON Street","JACANA","3047","2 ROBINSON Street, JACANA, VIC, 3047, Australia",-37.68582,144.912656,"RACF"
"Meadow Heights Care Community","90 LIGHTWOOD Crescent","MEADOW HEIGHTS","3048","90 LIGHTWOOD Crescent, MEADOW HEIGHTS, VIC, 3048, Australia",-37.644312,144.91395,"RACF"
"mecwacare Annie's Court","3905 FRANKSTON-FLINDERS Road","SHOREHAM","3916","3905 FRANKSTON-FLINDERS Road, SHOREHAM, VIC, 3916, Australia",-38.416372,145.050815,"RACF"
"mecwacare Ballan Hostel","168 INGLIS Street","BALLAN","3342","168 INGLIS Street, BALLAN, VIC, 3342, Australia",-37.599953,144.221752,"RACF"
"mecwacare Ballan Nursing Home","33 COWIE Street","BALLAN","3342","33 COWIE Street, BALLAN, VIC, 3342, Australia",-37.599578,144.222389,"RACF"
"mecwacare Calwell Manor","111 COUNTRY CLUB Drive","SAFETY BEACH","3936","111 COUNTRY CLUB Drive, SAFETY BEACH, VIC, 3936, Australia",-38.3286106,144.988290283567,"RACF"
"mecwacare Elstoft House","12-14 BEULAH Street","HAMLYN HEIGHTS","3215","12-14 BEULAH Street, HAMLYN HEIGHTS, VIC, 3215, Australia",-38.12005,144.323483,"RACF"
"mecwacare John Atchison Centre","312-318 Derrimut Road","HOPPERS CROSSING","3029","312-318 Derrimut Road, HOPPERS CROSSING, VIC, 3029, Australia",-37.857696,144.687212,"RACF"
"mecwacare Jubilee House","52 Northcote Avenue","CAULFIELD NORTH","3161","52 Northcote Avenue, CAULFIELD NORTH, VIC, 3161, Australia",-37.878237,145.02938,"RACF"
"mecwacare Malvern Centre","1245-1247 Malvern Road","MALVERN","3144","1245-1247 Malvern Road, MALVERN, VIC, 3144, Australia",-37.852124,145.03493,"RACF"
"mecwacare Noel Miller Centre","9-15 KENT Street","GLEN IRIS","3146","9-15 KENT Street, GLEN IRIS, VIC, 3146, Australia",-37.856046,145.047051,"RACF"
"mecwacare O'Mara House","15 HUNTER Road","TRARALGON","3844","15 HUNTER Road, TRARALGON, VIC, 3844, Australia",-38.2092904,146.548829583247,"RACF"
"mecwacare Park Hill","160 Mornington-Tyabb Road","MORNINGTON","3931","160 Mornington-Tyabb Road, MORNINGTON, VIC, 3931, Australia",-38.237777,145.0605483,"RACF"
"mecwacare Rositano House","273 CHURCH Street","RICHMOND","3121","273 CHURCH Street, RICHMOND, VIC, 3121, Australia",-37.8201036,144.9990484,"RACF"
"mecwacare Squires Place","375-379 Mason Street","ALTONA NORTH","3025","375-379 Mason Street, ALTONA NORTH, VIC, 3025, Australia",-37.83925,144.852226,"RACF"
"mecwacare Trescowthick Centre","70 CHARLES Street","PRAHRAN","3181","70 CHARLES Street, PRAHRAN, VIC, 3181, Australia",-37.848927,144.989541,"RACF"
"mecwacare Vincent House","125-135 KENNY Street","WESTMEADOWS","3049","125-135 KENNY Street, WESTMEADOWS, VIC, 3049, Australia",-37.674561,144.888643,"RACF"
"Medina Manor Aged Care","200A SMITH Street","THORNBURY","3071","200A SMITH Street, THORNBURY, VIC, 3071, Australia",-37.755712,144.983785,"RACF"
"Mekong Cairnlea Vietnamese Aged Care","133 CAIRNLEA Drive","CAIRNLEA","3023","133 CAIRNLEA Drive, CAIRNLEA, VIC, 3023, Australia",-37.755875,144.791983,"RACF"
"Mekong Vietnamese Aged Care","8 TROTT Place","KEILOR EAST","3033","8 TROTT Place, KEILOR EAST, VIC, 3033, Australia",-37.736114,144.857292,"RACF"
"Melaleuca Aged Care","1 WATCHORN Road","COWES","3922","1 WATCHORN Road, COWES, VIC, 3922, Australia",-38.45531225,145.241408440012,"RACF"
"Melbourne Hebrew Memorial Nursing Home (Gary Smorgon House) - Jewish Care (VIC)","4-8 Freeman Street","CAULFIELD","3162","4-8 Freeman Street, CAULFIELD, VIC, 3162, Australia",-37.8866054,145.0301098,"RACF"
"Menarock LIFE Camberwell","15 CORNELL Street","CAMBERWELL","3124","15 CORNELL Street, CAMBERWELL, VIC, 3124, Australia",-37.839,145.08824,"RACF"
"Menarock LIFE Glen Waverley","982 HIGH STREET Road","GLEN WAVERLEY","3150","982 HIGH STREET Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8770517,145.1881753,"RACF"
"Menarock LIFE Heathmont","27-29 The Greenway","HEATHMONT","3135","27-29 The Greenway, HEATHMONT, VIC, 3135, Australia",-37.8363758,145.2502774,"RACF"
"Menarock LIFE Highett (Rosehill)","12 MAXFLO Court","HIGHETT","3190","12 MAXFLO Court, HIGHETT, VIC, 3190, Australia",-37.952929,145.031902,"RACF"
"Menarock LIFE Lower Templestowe (Emmavale)","7 ELBERTA Avenue","TEMPLESTOWE LOWER","3107","7 ELBERTA Avenue, TEMPLESTOWE LOWER, VIC, 3107, Australia",-37.7733516,145.1165773,"RACF"
